iter	RMSE
0	1678.270739
1	1650.66401
2	1625.584742
3	1601.391116
4	1577.021094
5	1555.34773
6	1533.3519
7	1511.846334
8	1492.297369
9	1473.485411
10	1454.79966
11	1437.166811
12	1420.767064
13	1404.134915
14	1389.484329
15	1375.368765
16	1361.988845
17	1349.053447
18	1336.153616
19	1323.485023
20	1311.39504
21	1299.830999
22	1289.497549
23	1278.887422
24	1269.561932
25	1259.691929
26	1251.264131
27	1242.77861
28	1234.885611
29	1227.449827
30	1221.078805
31	1213.897164
32	1207.227285
33	1200.501717
34	1194.430216
35	1188.751153
36	1183.439879
37	1178.141995
38	1173.227196
39	1168.287352
40	1163.506718
41	1158.905429
42	1154.601466
43	1150.752271
44	1146.887403
45	1143.375254
46	1139.924072
47	1136.717696
48	1133.46074
49	1130.495305
50	1127.607181
51	1125.075197
52	1122.343954
53	1119.943588
54	1117.524305
55	1115.03866
56	1112.99233
57	1111.061976
58	1109.099236
59	1107.109075
60	1105.831635
61	1104.241925
62	1102.511286
63	1101.525821
64	1100.435027
65	1099.110062
66	1097.884508
67	1096.840691
68	1095.47761
69	1094.336831
70	1093.138792
71	1091.942802
72	1090.891198
73	1089.906715
74	1089.009618
75	1088.177827
76	1087.287663
77	1086.489635
78	1085.579908
79	1084.709572
80	1083.933617
81	1083.229456
82	1082.638493
83	1082.156541
84	1081.566664
85	1081.100237
86	1080.488624
87	1079.985866
88	1079.645558
89	1079.135038
90	1078.652021
91	1078.053864
92	1077.547159
93	1077.015234
94	1076.520064
95	1075.933172
96	1075.678212
97	1075.433407
98	1075.195869
99	1074.964679
100	1074.591457
101	1074.176865
102	1073.824796
103	1073.526589
104	1073.313086
105	1073.127905
106	1072.844298
107	1072.506751
108	1072.138386
109	1071.807294
110	1071.649016
111	1071.233821
112	1071.008755
113	1070.744657
114	1070.584884
115	1070.427041
116	1070.245251
117	1070.102698
118	1069.981663
119	1069.726242
120	1069.584933
121	1069.233414
122	1068.969189
123	1068.576641
124	1068.250819
125	1068.125045
126	1067.816403
127	1067.632549
128	1067.409001
129	1067.165496
130	1066.94996
131	1066.771252
132	1066.598848
133	1066.339094
134	1066.242691
135	1066.11442
136	1066.068613
137	1066.028881
138	1065.915705
139	1065.740873
140	1065.57387
141	1065.475379
142	1065.329793
143	1065.127874
144	1064.864588
145	1064.749803
146	1064.537228
147	1064.520736
148	1064.226301
149	1064.1351
150	1064.053503
151	1063.96736
152	1063.899235
153	1063.899234
154	1063.811999
155	1063.708723
156	1063.630499
157	1063.263121
