iter	Passed	Remaining
0	94	75188
1	172	68746
2	266	70895
3	364	72573
4	462	73519
5	554	73360
6	649	73539
7	750	74326
8	850	74743
9	930	73511
10	1025	73549
11	1116	73299
12	1204	72897
13	1293	72598
14	1366	71538
15	1468	71975
16	1567	72199
17	1667	72422
18	1763	72471
19	1855	72374
20	1950	72365
21	2039	72123
22	2134	72115
23	2219	71765
24	2316	71808
25	2410	71759
26	2513	71951
27	2609	71944
28	2705	71926
29	2800	71869
30	2856	70867
31	2946	70713
32	3035	70545
33	3127	70464
34	3216	70301
35	3304	70130
36	3400	70130
37	3493	70054
38	3594	70132
39	3692	70160
40	3786	70103
41	3881	70048
42	3969	69880
43	4058	69725
44	4151	69646
45	4243	69563
46	4335	69462
47	4429	69389
48	4524	69339
49	4620	69311
50	4714	69238
51	4811	69212
52	4897	69027
53	4992	68971
54	5085	68882
55	5178	68794
56	5272	68726
57	5368	68674
58	5457	68541
59	5547	68418
60	5636	68282
61	5737	68298
62	5830	68212
63	5870	67512
64	5965	67450
65	6059	67394
66	6160	67395
67	6253	67312
68	6348	67253
69	6445	67214
70	6537	67124
71	6626	66999
72	6725	66976
73	6819	66900
74	6921	66907
75	7018	66862
76	7115	66809
77	7208	66721
78	7306	66681
79	7401	66616
80	7495	66536
81	7587	66436
82	7685	66391
83	7784	66353
84	7877	66261
85	7965	66129
86	8054	66009
87	8145	65908
88	8242	65845
89	8333	65739
90	8424	65638
91	8512	65507
92	8600	65379
93	8691	65277
94	8787	65210
95	8877	65099
96	8975	65046
97	9018	64603
98	9118	64563
99	9217	64522
100	9312	64450
101	9397	64308
102	9490	64224
103	9584	64143
104	9683	64094
105	9720	63641
106	9819	63598
107	9910	63500
108	10003	63414
109	10096	63333
110	10188	63241
111	10280	63152
112	10374	63072
113	10472	63017
114	10546	62821
115	10645	62771
116	10745	62730
117	10839	62650
118	10936	62587
119	11026	62483
120	11155	62599
121	11275	62661
122	11393	62708
123	11506	62728
124	11617	62735
125	11727	62734
126	11841	62752
127	11944	62710
128	12040	62628
129	12133	62534
130	12254	62581
131	12352	62512
132	12449	62435
133	12545	62354
134	12623	62181
135	12719	62103
136	12814	62014
137	12903	61901
138	12991	61778
139	13083	61679
140	13179	61599
141	13280	61541
142	13368	61420
143	13460	61318
144	13548	61200
145	13646	61128
146	13750	61082
147	13775	60688
148	13866	60583
149	13958	60487
150	14057	60417
151	14143	60295
152	14247	60250
153	14272	59869
154	14365	59780
155	14462	59705
156	14558	59626
157	14660	59570
158	14725	59366
159	14849	59397
160	14955	59356
161	15069	59347
162	15201	59407
163	15299	59331
164	15389	59224
165	15480	59124
166	15588	59086
167	15689	59021
168	15787	58946
169	15879	58849
170	15973	58757
171	16070	58676
172	16166	58592
173	16264	58516
174	16352	58401
175	16434	58269
176	16527	58172
177	16619	58076
178	16723	58017
179	16815	57918
180	16910	57833
181	17004	57739
182	17030	57419
183	17118	57309
184	17227	57268
185	17329	57206
186	17427	57129
187	17523	57045
188	17558	56762
189	17656	56688
190	17743	56573
191	17825	56446
192	17920	56362
193	18015	56275
194	18105	56172
195	18206	56105
196	18297	56005
197	18386	55903
198	18478	55808
199	18570	55712
200	18663	55618
201	18752	55515
202	18776	55218
203	18867	55123
204	18960	55031
205	19053	54940
206	19132	54810
207	19170	54562
208	19260	54464
209	19349	54362
210	19442	54272
211	19532	54174
212	19623	54079
213	19657	53828
214	19745	53724
215	19840	53643
216	19930	53546
217	20011	53424
218	20085	53285
219	20152	53128
220	20263	53088
221	20352	52990
222	20442	52893
223	20533	52801
224	20624	52706
225	20710	52600
226	20788	52475
227	20882	52388
228	20969	52287
229	21052	52174
230	21141	52075
231	21223	51962
232	21330	51906
233	21429	51834
234	21514	51726
235	21597	51615
236	21697	51543
237	21778	51427
238	21869	51333
239	21974	51273
240	22065	51182
241	22156	51089
242	22252	51007
243	22339	50904
244	22433	50818
245	22525	50727
246	22579	50552
247	22618	50345
248	22709	50251
249	22797	50154
250	22896	50080
251	22994	50003
252	23097	49937
253	23186	49841
254	23279	49754
255	23305	49524
256	23397	49435
257	23488	49343
258	23581	49257
259	23679	49181
260	23772	49093
261	23869	49014
262	23971	48944
263	24064	48858
264	24151	48758
265	24201	48584
266	24227	48363
267	24305	48248
268	24395	48155
269	24421	47937
270	24509	47843
271	24589	47732
272	24673	47629
273	24755	47524
274	24849	47439
275	24939	47349
276	25031	47262
277	25127	47181
278	25222	47100
279	25247	46887
280	25333	46789
281	25423	46700
282	25447	46488
283	25495	46322
284	25518	46112
285	25606	46020
286	25699	45937
287	25781	45833
288	25803	45625
289	25890	45531
290	25984	45450
291	26086	45384
292	26109	45179
293	26204	45100
294	26290	45006
295	26388	44931
296	26456	44806
297	26549	44723
298	26639	44636
299	26733	44555
300	26828	44476
301	26908	44371
302	26995	44279
303	27018	44083
304	27104	43989
305	27184	43886
306	27278	43805
307	27360	43705
308	27449	43616
309	27531	43517
310	27623	43434
311	27711	43343
312	27807	43266
313	27833	43079
314	27924	42994
315	28019	42915
316	28127	42856
317	28215	42766
318	28307	42683
319	28397	42596
320	28494	42519
321	28584	42432
322	28679	42353
323	28762	42255
324	28855	42173
325	28948	42090
326	29038	42003
327	29132	41922
328	29232	41849
329	29318	41756
330	29420	41685
331	29513	41603
332	29537	41423
333	29625	41333
334	29713	41243
335	29790	41139
336	29882	41055
337	29981	40980
338	30068	40889
339	30161	40806
340	30255	40725
341	30345	40638
342	30435	40551
343	30532	40473
344	30630	40396
345	30724	40314
346	30824	40240
347	30924	40165
348	31012	40076
349	31110	39999
350	31206	39918
351	31288	39822
352	31387	39745
353	31478	39658
354	31568	39571
355	31656	39482
356	31756	39405
357	31851	39324
358	31942	39238
359	32029	39146
360	32117	39057
361	32203	38964
362	32296	38879
363	32381	38786
364	32475	38703
365	32564	38614
366	32650	38522
367	32727	38419
368	32824	38339
