Feature,SHAP_Value,Abs_SHAP
Item_MRP_Log,-574.9932908488005,574.9932908488005
Item_MRP,-356.6338835162216,356.6338835162216
Item_ID_Category,-36.34500244580612,36.34500244580612
Outlet_Age,-10.844225828226195,10.844225828226195
Item_Type,-10.82314631186707,10.82314631186707
Outlet_Identifier,10.341339517152525,10.341339517152525
Item_Visibility_Log,9.244140674786221,9.244140674786221
Item_Visibility,8.80843671810526,8.80843671810526
Item_Identifier,5.143062536875911,5.143062536875911
Outlet_Type,4.911646368341645,4.911646368341645
Outlet_Size,-4.261131769427533,4.261131769427533
Item_Fat_Content,-2.8692731982797395,2.8692731982797395
Item_Weight,-2.1472238803538506,2.1472238803538506
Outlet_Establishment_Year,-2.0192380898806292,2.0192380898806292
Outlet_Location_Type,-1.5963551967989755,1.5963551967989755
Item_Visibility_Zero,-0.006207339389760453,0.006207339389760453
